<?xml version="1.0" encoding="UTF-8"?>
   ID, title, author, year;
    
   bk101 lang="en"XML Developer's Guide ," 2000
   bk102 lang="en"Midnight Rain ," 2000
   bk103 lang="en"Maeve Ascendant ," 2000
   bk104 lang="en"Oberon's Legacy ," 2001
   bk105 lang="en"The Sundered Grail ," 2001
   bk106 lang="en"Lover Birds ," 2000
   bk107 lang="en"Splish Splash ," 2000
   bk108 lang="en"Creepy Crawlies ," 2000
   bk109 lang="en"Paradox Lost ," 2000
   bk110 lang="en"Microsoft .NET: The Programming Bible ," 2000
   bk111 lang="en"MSXML3: A Comprehensive Guide ," 2000
   bk112 lang="en"Visual Studio 7: A Comprehensive Guide ," 2001
